name,region,country,latitude,longitude,utcOffset,zone
Umuahia,Abia,Nigeria,5.533,7.483,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Yola,Adamawa,Nigeria,9.2,12.483,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Uyo,Akwa Ibom,Nigeria,5.05,7.933,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Awka,Anambra,Nigeria,6.217,7.083,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Bauchi,Bauchi,Nigeria,10.316,9.844,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Yenagoa,Bayelsa,Nigeria,4.925,6.264,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Makurdi,Benue,Nigeria,7.733,8.533,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Maiduguri,Borno,Nigeria,11.845,13.16,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Calabar,Cross River,Nigeria,4.95,8.317,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Asaba,Delta,Nigeria,6.183,6.75,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Abakaliki,Ebonyi,Nigeria,6.333,8.1,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Benin-City,Edo,Nigeria,6.333,5.633,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Ado-Ekiti,Ekiti,Nigeria,7.633,5.217,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Enugu,Enugu,Nigeria,6.433,7.483,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Abuja,Federal Capital Territory,Nigeria,9.176,7.181,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Gombe,Gombe,Nigeria,7.9,10.417,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Owerri,Imo,Nigeria,5.483,7.033,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Dutse,Jigawa,Nigeria,11.778,9.334,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Kaduna,Kaduna,Nigeria,10.523,7.44,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Kano,Kano,Nigeria,11.996,8.517,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Katsina,Katsina,Nigeria,12.998,7.599,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Birnin-Kebbi,Kebbi,Nigeria,12.454,4.198,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Lokoja,Kogi,Nigeria,7.8,6.733,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Ilorin,Kwara,Nigeria,8.5,4.55,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Ikeja,Lagos,Nigeria,6.597,3.343,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Lafia,Nassarawa,Nigeria,8.483,8.517,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Minna,Niger,Nigeria,9.614,6.557,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Abeokuta,Ogun,Nigeria,7.15,3.35,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Akure,Ondo,Nigeria,7.25,5.2,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Oshogbo,Osun,Nigeria,7.767,4.567,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Ibadan,Oyo,Nigeria,7.388,3.896,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Jos,Jos,Nigeria,9.64,8.869,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Port Harcourt,Rivers,Nigeria,4.789,6.999,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Sokoto,Sokoto,Nigeria,13.051,5.231,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Jalingo,Taraba,Nigeria,8.883,11.367,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Damaturu,Yobe,Nigeria,11.749,11.964,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Gusau,Zamfara,Nigeria,12.164,6.667,1.0,Africa/Lagos
name,region,country,latitude,longitude,utcOffset,zone
Abuja,Federal Capital Territory,Nigeria,9.176,7.181,1.0,Africa/Lagos
