city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Umuahia,2022-08-25 01:13,28.0,83.0,22.0,71.0,25.0,76.0,0.0,10.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Yola,2022-08-25 01:14,26.0,78.0,21.0,69.0,23.0,73.0,0.0,9.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Uyo,2022-08-25 01:14,29.0,85.0,22.0,71.0,25.0,76.0,0.0,10.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Awka,2022-08-25 01:14,28.0,82.0,21.0,70.0,24.0,75.0,0.0,10.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Bauchi,2022-08-25 01:14,22.0,71.0,20.0,67.0,21.0,69.0,0.0,9.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Yenagoa,2022-08-25 01:14,30.0,86.0,23.0,73.0,26.0,78.0,0.0,10.0,6.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Makurdi,2022-08-25 01:14,24.0,76.0,22.0,71.0,23.0,73.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Maiduguri,2022-08-25 01:14,29.0,83.0,21.0,70.0,24.0,75.0,0.0,11.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Calabar,2022-08-25 01:14,28.0,83.0,22.0,72.0,24.0,76.0,0.0,9.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Asaba,2022-08-25 01:14,29.0,84.0,21.0,70.0,24.0,76.0,0.0,11.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Abakaliki,2022-08-25 01:14,28.0,82.0,22.0,71.0,24.0,76.0,0.0,9.8,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Benin-City,2022-08-25 01:14,30.0,86.0,21.0,70.0,24.0,76.0,0.0,10.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Ado-Ekiti,2022-08-25 01:14,27.0,81.0,19.0,67.0,22.0,72.0,0.0,10.8,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Enugu,2022-08-25 01:14,26.0,79.0,21.0,69.0,23.0,73.0,0.0,9.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Abuja,2022-08-25 01:14,24.0,76.0,20.0,67.0,22.0,71.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Gombe,2022-08-25 01:14,24.0,74.0,21.0,70.0,22.0,71.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Owerri,2022-08-25 01:14,29.0,84.0,21.0,71.0,25.0,77.0,0.0,10.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Dutse,2022-08-25 01:14,25.0,78.0,20.0,69.0,22.0,72.0,0.0,10.5,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Kaduna,2022-08-25 01:14,22.0,71.0,20.0,67.0,20.0,68.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Kano,2022-08-25 01:14,27.0,80.0,21.0,70.0,23.0,73.0,0.0,10.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Katsina,2022-08-25 01:14,28.0,82.0,20.0,68.0,23.0,74.0,0.0,9.8,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Birnin-Kebbi,2022-08-25 01:14,27.0,80.0,24.0,75.0,25.0,77.0,0.0,10.5,6.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Lokoja,2022-08-25 01:14,27.0,81.0,21.0,70.0,24.0,74.0,0.0,10.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Ilorin,2022-08-25 01:14,27.0,81.0,21.0,69.0,23.0,74.0,0.0,11.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Ikeja,2022-08-25 01:14,30.0,87.0,23.0,74.0,26.0,79.0,0.0,11.3,7.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Lafia,2022-08-25 01:14,24.0,76.0,21.0,70.0,22.0,72.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Minna,2022-08-25 01:14,25.0,77.0,21.0,70.0,22.0,72.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Abeokuta,2022-08-25 01:14,30.0,85.0,21.0,70.0,24.0,76.0,0.0,11.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Akure,2022-08-25 01:14,27.0,81.0,20.0,67.0,22.0,72.0,0.0,10.5,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Oshogbo,2022-08-25 01:14,28.0,82.0,19.0,67.0,22.0,72.0,0.0,10.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Ibadan,2022-08-25 01:14,29.0,84.0,21.0,69.0,24.0,75.0,0.0,10.8,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Jos,2022-08-25 01:14,18.0,65.0,17.0,63.0,17.0,63.0,0.0,9.0,4.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Port Harcourt,2022-08-25 01:14,29.0,83.0,21.0,70.0,24.0,76.0,0.0,10.3,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Sokoto,2022-08-25 01:14,27.0,80.0,22.0,72.0,24.0,76.0,0.0,10.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Jalingo,2022-08-25 01:14,22.0,71.0,20.0,69.0,21.0,70.0,0.0,9.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Damaturu,2022-08-25 01:14,25.0,77.0,20.0,69.0,22.0,72.0,0.0,9.5,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Gusau,2022-08-25 01:14,25.0,76.0,20.0,68.0,22.0,72.0,0.0,10.0,5.0
city,date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex
Abuja,2022-08-25 01:14,24.0,76.0,20.0,67.0,22.0,71.0,0.0,9.0,5.0
